section,name,ok,error,diagnostic_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_global_resident_kv_mib,p95_global_resident_kv_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,mean_cumulative_kv_mib,mean_resident_kv_mib,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,primary_metric_distribution,profile_residence_share,queue_delay_ms,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,switch_count,target_delta,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,223.62545043945312,430.53460693359375,0.95,1.0,1.0,1.0,1.0,0.95,-0.8999999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}",,,,,,,0.0,,,,,,8.285677490234375,8.285677490234375,,False,,True,0.8769696969696968,,"{""h2o_heavy15_recent15"": 0.5101360482926389, ""h2o_heavy20_recent20"": 0.489863951707361}",0.0,0.0,,0.0,,1.0038446969696972,23.0,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,0.0,0.0,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,False,,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,,0.0,0.05,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.05,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,223.62545043945312,430.53460693359375,0.95,1.0,1.0,1.0,1.0,0.95,-0.8999999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}",,,,,,,0.0,,,,,,8.285677490234375,8.285677490234375,,False,,True,0.8769696969696968,,"{""h2o_heavy15_recent15"": 0.5101360482926389, ""h2o_heavy20_recent20"": 0.489863951707361}",0.0,0.0,,0.0,,1.0038446969696972,23.0,0.05,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.05,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.05,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,False,,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,,0.0,0.1,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,0.0,0.0,0.1,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,0.0,0.0,0.1,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,4900.0,100.0,100.0,,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,223.62545043945312,430.53460693359375,0.95,1.0,1.0,1.0,1.0,0.95,-0.85,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}",,,,,,,0.0,,,,,,8.285677490234375,8.285677490234375,,False,,True,0.8769696969696968,,"{""h2o_heavy15_recent15"": 0.5101360482926389, ""h2o_heavy20_recent20"": 0.489863951707361}",0.0,0.0,,0.0,,1.0038446969696972,23.0,0.1,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,4900.0,100.0,100.0,,5208.234696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,196.0,0.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,196.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1262.6480273437492,0.0,,63.0,5608.824348958331,0.0,0.0,0.1,,
policy,full_lru,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,False,,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,,0.0,0.1,,
policy,static_best,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.1,,
policy,static_safe,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.1,,
policy,utility_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,100.0,100.0,,406.8646328523755,230.30387610197067,2058.5415437817574,2236.2167425453663,15551.446318359374,16314.4541015625,8.285677490234375,18.33697509765625,223.62545043945312,430.53460693359375,0.95,1.0,1.0,1.0,1.0,0.95,-0.85,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy15_recent15"": 66, ""h2o_heavy20_recent20"": 34}",,,,,,,0.0,,,,,,8.285677490234375,8.285677490234375,,False,,True,0.8769696969696968,,"{""h2o_heavy15_recent15"": 0.5101360482926389, ""h2o_heavy20_recent20"": 0.489863951707361}",0.0,0.0,,0.0,,1.0038446969696972,23.0,0.1,,
policy,uncalibrated_dynamic,True,,,,configs/pilot.yaml,,,,,,0.1,0.1,5000.0,100.0,100.0,,5205.384696766495,4499.478368657828,13693.154468554258,16701.779753535986,4488.2146875,4801.28076171875,200.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,1.0,,,,,,,200.0,,False,,True,0.0,,"{""full_gpu"": 1.0}",1261.8980273437492,0.0,,63.0,5605.491015624998,0.0,0.0,0.1,,
